section,question_number,main_question,full_question,sub_question,option_1,option_2,option_3,option_4,correct_option,feedback_1,feedback_2,feedback_3,feedback_4,min_value,max_value,solution,image_url,units,Unnamed: 19
Basic Math,1,Algebra 1,"Solve for $V_i$ in the equation $V_f^2 = V_i^2 + 2ad$ Given: $V_f = 14 \mathrm{m/s}$, $a = 2 \mathrm{m/s^2}$, $d = 8 \mathrm{m}$","If we isolate for $V_i$, what are we left with?",$V_i = V_f - 2ad$,$V_i = \sqrt{V_f^2 - 2ad}$,$V_i = V_f^2 - 2ad^2$,$V_i = V_f^2 - 2ad$,2,Incorrect To isolate $V_i$:,Correct! To isolate $V_i$:,Incorrect To isolate $V_i$:,Incorrect To isolate $V_i$:,12.81,12.81,1. Isolate for $V_i$: $V_i = \sqrt{V_f^2 - 2ad}$ 2. Solve for $V_i$,,m/s,
Basic Math,1,Algebra 1,"Solve for $V_i$ in the equation $V_f^2 = V_i^2 + 2ad$ Given: $V_f = 14 \mathrm{m/s}$, $a = 2 \mathrm{m/s^2}$, $d = 8 \mathrm{m}$",What is the value of $V_i$?,,,,,,,,,,12.81,12.81,1. Isolate for $V_i$: $V_i = \sqrt{V_f^2 - 2ad}$ 2. Solve for $V_i$,,m/s,
Basic Math,2,Algebra 2,"Solve for $t$ in the equation $V_f = V_i + a t$ Given: $V_f = 10\mathrm{m/s}$, $V_i = 5\mathrm{m/s}$, $a = 1\mathrm{m/s^2}$","If we isolate for $t$, what are we left with?",$t = \dfrac{V_f - V_i}{a}$,$t = V_f - V_ia$,$t = \sqrt{(V_f - V_i)/a}$,$t = \dfrac{V_f - V_i}{a}$,4,Incorrect Re-arrange $V_f = V_i + a t$ _ $t = \dfrac{V_f - V_i}{a}$,Correct! Re-arrange $V_f = V_i + a t$ _ $t = \dfrac{V_f - V_i}{a}$,Incorrect The square root is not needed here.,Incorrect Check algebra for isolating $t$.,5,5,1. Isolate for $t$: $t = \dfrac{V_f - V_i}{a}$ 2. Solve for $t$,,s,
Basic Math,2,Algebra 2,"Solve for $t$ in the equation $V_f = V_i + a t$ Given: $V_f = 10\mathrm{m/s}$, $V_i = 5\mathrm{m/s}$, $a = 1\mathrm{m/s^2}$",What is the value of $t$?,,,,,,,,,,5,5,1. Isolate for $t$: $t = \dfrac{V_f - V_i}{a}$ 2. Solve for $t$,,s,
Basic Math,3,Algebra 3,"Solve for $V_f$ in the equation $Ft = m (V_f - V_i)$ Given: $F = 50\mathrm{N}$, $t = 0.5\mathrm{s}$, $m = 5\mathrm{kg}$, $V_i = 2\mathrm{m/s}$","If we isolate for $V_f$, what are we left with?",$V_f = m - \dfrac{mFt}{V_i}$,$V_f = \dfrac{Ft + m V_i}{m}$,$V_f = m + \dfrac{m V_i}{Ft}$,$V_f = \dfrac{Ft - m V_i}{m}$,2,Incorrect Isolate $F t = m(V_f - V_i)$ _ $V_f = \dfrac{F t}{m} + V_i$.,Correct! Isolate $F t = m(V_f - V_i)$ _ $V_f = \dfrac{F t}{m} + V_i$.,Incorrect Isolate $F t = m(V_f - V_i)$ _ $V_f = \dfrac{F t}{m} + V_i$.,Incorrect Isolate $F t = m(V_f - V_i)$ _ $V_f = \dfrac{F t}{m} + V_i$.,7,7,1. Isolate for $V_f$: $V_f = \dfrac{Ft + m V_i}{m}$ 2. Solve for $V_f$,,m/s,
Basic Math,3,Algebra 3,"Solve for $V_f$ in the equation $Ft = m (V_f - V_i)$ Given: $F = 50\mathrm{N}$, $t = 0.5\mathrm{s}$, $m = 5\mathrm{kg}$, $V_i = 2\mathrm{m/s}$",What is the value of $VF$?,,,,,,,,,,7,7,1. Isolate for $V_f$: $V_f = \dfrac{Ft + m V_i}{m}$ 2. Solve for $V_f$,,m/s,
Basic Math,4,Algebra 4,"Solve for $t$ in the equation $Ft = m (V_f - V_i)$ Given: $F = 25\mathrm{N}$, $V_f = 15\mathrm{m/s}$, $V_i = 5\mathrm{m/s}$, $m = 10\mathrm{kg}$","If we isolate for $t$, what are we left with?",$t = \frac{m(V_f - V_i)}{F}$,$t = (V_i - m F)/(mV_f)$,$t = \frac{V_i}{mV_f - F}$,$t = \frac{mV_f - F}{V_i}$,1,Incorrect Re-arrange $Ft = m (V_f - V_i)$ _ $t = \frac{m (V_f - V_i)}{F}$.,Correct! Re-arrange $Ft = m (V_f - V_i)$ _ $t = \frac{m (V_f - V_i)}{F}$.,Incorrect Re-arrange $Ft = m (V_f - V_i)$ _ $t = \frac{m (V_f - V_i)}{F}$.,Incorrect Re-arrange $Ft = m (V_f - V_i)$ _ $t = \frac{m (V_f - V_i)}{F}$.,4,4,1. Isolate for $t$: $t = \frac{m(V_f - V_i)}{F}$ 2. Solve for $t$,,s,
Basic Math,4,Algebra 4,"Solve for $t$ in the equation $Ft = m (V_f - V_i)$ Given: $F = 25\mathrm{N}$, $V_f = 15\mathrm{m/s}$, $V_i = 5\mathrm{m/s}$, $m = 10\mathrm{kg}$",What is the value of $t$?,,,,,,,,,,4,4,1. Isolate for $t$: $t = \frac{m(V_f - V_i)}{F}$ 2. Solve for $t$,,s,
Basic Math,5,Algebra 5,"Solve for $m$ in the equation $Ft = m(V_f - V_i)$ Given: $F = 20\mathrm{N}$, $t = 2\mathrm{s}$, $V_f = 10\mathrm{m/s}$, $V_i = 5\mathrm{m/s}$","If we isolate for $m$, what are we left with?",$m = \dfrac{Ft}{V_f - V_i}$,$m = \dfrac{V_f - V_i}{Ft}$,$m = \dfrac{Ft - V_i}{V_f}$,$m = \dfrac{V_f - V_i \cdot t}{F}$,1,Incorrect Isolate $Ft = m (V_f - V_i)$ _ $m = \dfrac{Ft}{V_f - V_i}$.,Correct! Isolate $Ft = m (V_f - V_i)$ _ $m = \dfrac{F t}{V_f - V_i}$.,Incorrect Check algebra for isolating $m$.,Incorrect Check algebra for isolating $m$.,8,8,1. Isolate for $m$: $m = \dfrac{Ft}{V_f - V_i}$ 2. Solve for $m$,,kg,
Basic Math,5,Algebra 5,"Solve for $m$ in the equation $Ft = m(V_f - V_i)$ Given: $F = 20\mathrm{N}$, $t = 2\mathrm{s}$, $V_f = 10\mathrm{m/s}$, $V_i = 5\mathrm{m/s}$",What is the value of $m$?,,,,,,,,,,8,8,1. Isolate for $m$: $m = \dfrac{Ft}{V_f - V_i}$ 2. Solve for $m$,,kg,
